"","player_id","full","position","team","opp","team_game_number","game_id","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"156",721966,"PLYS Chris","M","USA","SUI",8,"746338","Round-Robin",24,81,18,86,6,67,11,84,13,79
"157",1475582,"CONSTANTINI Stefania","F","ITA","SWE",8,"746363","Round-Robin",16,67,10,73,6,58,8,50,8,84
"158",1022627,"MOSANER Amos","M","ITA","SWE",8,"746363","Round-Robin",24,74,15,70,9,81,15,60,9,97
"159",1245672,"DE VAL Almida","F","SWE","ITA",9,"746363","Round-Robin",16,80,13,83,3,67,7,71,9,86
"160",721971,"ERIKSSON Oskar","M","SWE","ITA",9,"746363","Round-Robin",24,78,18,81,6,71,10,83,14,75
"161",842605,"HOMAN Rachel","F","CAN","AUS",8,"746349","Round-Robin",18,65,14,77,4,25,10,70,8,59
"162",338028,"MORRIS John","M","CAN","AUS",8,"746349","Round-Robin",27,76,24,74,3,92,7,54,20,84
"163",1929264,"GILL Tahli","F","AUS","CAN",9,"746349","Round-Robin",17,71,13,71,4,69,7,61,10,78
"164",1323453,"HEWITT Dean","M","AUS","CAN",9,"746349","Round-Robin",27,81,15,87,12,73,9,78,18,82
"165",1221476,"PAUL Tomas","M","CZE","CHN",9,"746361","Round-Robin",24,82,16,83,8,81,9,94,15,75
"166",1967586,"PAULOVA Zuzana","F","CZE","CHN",9,"746361","Round-Robin",16,77,13,83,3,50,6,83,10,73
"167",2272511,"FAN Suyuan","F","CHN","CZE",9,"746361","Round-Robin",15,60,11,66,4,44,4,38,11,68
"168",1245715,"LING Zhi","M","CHN","CZE",9,"746361","Round-Robin",24,90,16,92,8,84,2,100,22,89
"169",1149959,"PERRET Jenny","F","SUI","NOR",9,"746375","Round-Robin",16,67,12,67,4,69,8,41,8,94
"170",760837,"RIOS Martin","M","SUI","NOR",9,"746375","Round-Robin",23,72,17,75,6,63,14,73,9,69
"171",841718,"NEDREGOTTEN Magnus","M","NOR","SUI",9,"746375","Round-Robin",24,88,14,88,10,88,12,90,12,85
"172",706818,"SKASLIEN Kristin","F","NOR","SUI",9,"746375","Round-Robin",16,86,12,90,4,75,9,86,7,86
"173",1149977,"PERSINGER Vicky","F","USA","GBR",9,"746339","Round-Robin",16,67,10,75,6,54,2,38,14,71
"174",721966,"PLYS Chris","M","USA","GBR",9,"746339","Round-Robin",24,72,15,83,9,53,7,71,17,72
"175",1149957,"DODDS Jennifer","F","GBR","USA",9,"746339","Round-Robin",16,88,14,93,2,50,9,86,7,89
"176",1366641,"MOUAT Bruce","M","GBR","USA",9,"746339","Round-Robin",24,94,19,92,5,100,14,98,10,88
"177",842605,"HOMAN Rachel","F","CAN","ITA",9,"746354","Round-Robin",18,72,16,75,2,50,13,81,5,50
"178",338028,"MORRIS John","M","CAN","ITA",9,"746354","Round-Robin",27,82,17,87,10,75,13,77,14,88
"179",1475582,"CONSTANTINI Stefania","F","ITA","CAN",9,"746354","Round-Robin",18,85,16,83,2,100,10,93,8,75
"180",1022627,"MOSANER Amos","M","ITA","CAN",9,"746354","Round-Robin",27,87,18,90,9,81,7,75,20,91
"181",1475582,"CONSTANTINI Stefania","F","ITA","SWE",10,"746345","Semifinals",14,84,12,81,2,100,8,75,6,96
"182",1022627,"MOSANER Amos","M","ITA","SWE",10,"746345","Semifinals",21,94,12,96,9,92,4,100,17,93
"183",1245672,"DE VAL Almida","F","SWE","ITA",10,"746345","Semifinals",14,52,10,65,4,19,10,53,4,50
"184",721971,"ERIKSSON Oskar","M","SWE","ITA",10,"746345","Semifinals",21,76,15,77,6,75,11,80,10,73
"185",841718,"NEDREGOTTEN Magnus","M","NOR","GBR",10,"746370","Semifinals",24,85,17,82,7,93,14,82,10,90
"186",706818,"SKASLIEN Kristin","F","NOR","GBR",10,"746370","Semifinals",16,81,15,80,1,100,8,63,8,100
"187",1149957,"DODDS Jennifer","F","GBR","NOR",10,"746370","Semifinals",16,83,13,90,3,50,7,93,9,75
"188",1366641,"MOUAT Bruce","M","GBR","NOR",10,"746370","Semifinals",24,81,18,85,6,71,10,80,14,82
"189",1245672,"DE VAL Almida","F","SWE","GBR",11,"746365","Bronze Medal Game",12,100,10,100,2,100,4,100,8,100
"190",721971,"ERIKSSON Oskar","M","SWE","GBR",11,"746365","Bronze Medal Game",18,82,11,86,7,75,6,67,12,90
"191",1149957,"DODDS Jennifer","F","GBR","SWE",11,"746365","Bronze Medal Game",12,56,7,86,5,15,5,55,7,57
"192",1366641,"MOUAT Bruce","M","GBR","SWE",11,"746365","Bronze Medal Game",18,85,14,84,4,88,13,83,5,90
"193",1475582,"CONSTANTINI Stefania","F","ITA","NOR",11,"746337","Gold Medal Game",15,83,12,88,3,67,6,83,9,83
"194",1022627,"MOSANER Amos","M","ITA","NOR",11,"746337","Gold Medal Game",24,90,15,98,9,75,12,81,12,98
"195",841718,"NEDREGOTTEN Magnus","M","NOR","ITA",11,"746337","Gold Medal Game",24,69,17,72,7,61,8,75,16,66
"196",706818,"SKASLIEN Kristin","F","NOR","ITA",11,"746337","Gold Medal Game",16,70,13,71,3,67,8,69,8,72
